"trip_id","driver_id","driver_name","rider_id","city","pickup_lat","pickup_lng","drop_lat","drop_lng","distance_km","fare_amount","status","payment_method","pickup_date","pickup_time","drop_date","drop_time"
"1","8270","Nathan Foley","10683","San Francisco","37.1709","-77.5865","37.1737","-77.6199","2.97","10.71","Completed","Wallet","2023-01-01","00:00:00","2023-01-01","00:08:54"
"2","1860","Nancy Morris","44743","Boston","38.8981","-108.583","38.9375","-108.559","8.43","22.41","Completed","UPI","2023-01-01","00:01:00","2023-01-01","00:26:17"
"3","6390","Cameron Hernandez","75839","San Francisco","38.8146","-89.9426","38.8217","-89.8964","5.46","12.91","Completed","Cash","2023-01-01","00:02:00","2023-01-01","00:18:22"
"4","6191","Heidi Perry DVM","22189","New York","37.2959","-75.3288","37.3014","-75.3175","6.61","15.7","Completed","Wallet","2023-01-01","00:03:00","2023-01-01","00:22:49"
"5","6734","Sabrina Benjamin","61104","Seattle","38.9724","-121.483","38.9921","-121.468","10.5","19.15","Completed","Wallet","2023-01-01","00:04:00","2023-01-01","00:35:30"
"6","7265","Brian Kline","84988","San Francisco","37.6006","-106.719","37.5569","-106.731","9.94","19.95","Completed","Card","2023-01-01","00:05:00","2023-01-01","00:34:49"
"7","1466","Dustin Hayes","82933","San Francisco","40.2886","-82.8082","40.2788","-82.8446","12.22","25.89","Completed","UPI","2023-01-01","00:06:00","2023-01-01","00:42:39"
"8","5426","Deanna Stephens","60182","Chicago","40.6012","-78.3987","40.5698","-78.3682","10.14","25.55","Completed","Cash","2023-01-01","00:07:00","2023-01-01","00:37:25"
"9","6578","Lauren Romero","15826","San Francisco","40.2962","-87.5765","40.2846","-87.5648","1.88","7.97","Completed","Cash","2023-01-01","00:08:00","2023-01-01","00:13:38"
"10","9322","Danielle White","63503","Boston","40.7126","-78.4997","40.6703","-78.4775","3.7","12.21","No-Show","UPI","2023-01-01","00:09:00","2023-01-01","00:20:06"
"11","2685","Patrick May","19386","Los Angeles","39.5892","-119.352","39.5807","-119.339","7.5","13.99","Completed","Cash","2023-01-01","00:10:00","2023-01-01","00:32:30"
"12","1769","Robert Lewis","54319","Boston","40.3743","-107.844","40.3771","-107.879","5.64","11.38","Completed","Card","2023-01-01","00:11:00","2023-01-01","00:27:55"
"13","7949","Amanda Mclaughlin","83961","Boston","38.9969","-111.388","39.0145","-111.43","1.6","4.93","Completed","UPI","2023-01-01","00:12:00","2023-01-01","00:16:48"
"14","3433","Luis Hunt","21112","Los Angeles","40.1607","-104.141","40.1512","-104.142","7.13","15.22","Completed","Cash","2023-01-01","00:13:00","2023-01-01","00:34:23"
"15","6311","Mark Hanson","44486","San Francisco","40.7862","-101.212","40.833","-101.213","1.74","4.88","Completed","Cash","2023-01-01","00:14:00","2023-01-01","00:19:13"
"16","6051","Megan Ford","76028","Los Angeles","38.5227","-111.361","38.5247","-111.319","5.94","14.07","Completed","Cash","2023-01-01","00:15:00","2023-01-01","00:32:49"
"17","7420","Cesar Marshall","87010","Los Angeles","40.3366","-76.6181","40.3121","-76.6307","9.4","24.1","No-Show","UPI","2023-01-01","00:16:00","2023-01-01","00:44:12"
"18","2184","Samuel Christian MD","83565","Boston","38.8965","-115.984","38.8606","-116.029","7.19","19.78","Completed","Card","2023-01-01","00:17:00","2023-01-01","00:38:34"
"19","5555","Shirley Thomas","66686","Seattle","39.4511","-84.0466","39.4448","-84.0213","4.49","13.35","Completed","UPI","2023-01-01","00:18:00","2023-01-01","00:31:28"
"20","4385","Bobby Moran","55284","Boston","40.5311","-78.3287","40.5105","-78.2929","5.22","13.43","Completed","Wallet","2023-01-01","00:19:00","2023-01-01","00:34:39"
"21","7396","Tiffany Levine","15886","Seattle","40.5236","-102.212","40.5444","-102.2","13.13","30.11","Completed","UPI","2023-01-01","00:20:00","2023-01-01","00:59:23"
"22","9666","Jennifer Cox","24412","Chicago","39.9686","-96.1969","39.9897","-96.2276","6.43","16.21","Completed","Cash","2023-01-01","00:21:00","2023-01-01","00:40:17"
"23","3558","Richard Huff","83992","New York","38.2501","-77.6872","38.2207","-77.6596","8.1","15.18","Completed","UPI","2023-01-01","00:22:00","2023-01-01","00:46:18"
